,potential,finishing,short_passing,volleys,dribbling,long_passing,ball_control,reactions,shot_power,long_shots,interceptions,positioning,vision,standing_tackle,sliding_tackle,overall_rating
24526,77.0,25.0,23.0,25.0,25.0,32.0,20.0,75.0,36.0,25.0,20.0,25.0,25.0,25.0,25.0,77.0
24527,65.0,18.0,31.0,12.0,19.0,32.0,21.0,68.0,42.0,11.0,23.0,12.0,33.0,10.0,12.0,63.0
24528,75.0,44.0,75.0,30.0,70.0,69.0,68.0,73.0,73.0,40.0,68.0,54.0,56.0,72.0,69.0,72.0
24529,64.0,25.0,53.0,22.0,55.0,48.0,54.0,59.0,42.0,29.0,64.0,50.0,53.0,57.0,57.0,58.0
24530,72.0,66.0,64.0,58.0,70.0,52.0,67.0,67.0,66.0,58.0,29.0,65.0,59.0,32.0,29.0,67.0
24531,75.0,41.0,74.0,74.0,70.0,72.0,72.0,70.0,83.0,78.0,74.0,70.0,67.0,71.0,70.0,72.0
24532,74.0,54.0,67.0,54.0,68.0,59.0,69.0,67.0,71.0,62.0,73.0,65.0,46.0,72.0,71.0,72.0
24533,68.0,39.0,56.0,49.0,64.0,56.0,61.0,67.0,51.0,51.0,55.0,57.0,52.0,68.0,60.0,64.0
24534,69.0,23.0,61.0,29.0,42.0,25.0,58.0,65.0,45.0,31.0,61.0,29.0,53.0,68.0,67.0,65.0
24535,74.0,47.0,74.0,62.0,69.0,67.0,74.0,75.0,82.0,67.0,76.0,66.0,69.0,78.0,73.0,74.0
24536,67.0,66.0,62.0,50.0,71.0,66.0,68.0,64.0,62.0,56.0,51.0,59.0,64.0,47.0,48.0,67.0
24537,72.0,40.0,59.0,37.0,51.0,55.0,65.0,65.0,38.0,34.0,58.0,60.0,52.0,63.0,72.0,66.0
24538,76.0,59.0,79.0,56.0,70.0,72.0,75.0,72.0,65.0,62.0,59.0,64.0,69.0,74.0,69.0,73.0
24539,73.0,58.0,74.0,72.0,70.0,74.0,74.0,62.0,86.0,80.0,76.0,66.0,64.0,76.0,79.0,73.0
24540,71.0,45.0,71.0,28.0,62.0,73.0,64.0,65.0,58.0,46.0,68.0,51.0,62.0,73.0,72.0,71.0
24541,72.0,68.0,76.0,69.0,71.0,72.0,76.0,62.0,72.0,81.0,41.0,70.0,73.0,48.0,25.0,72.0
24542,76.0,70.0,74.0,71.0,76.0,79.0,78.0,72.0,81.0,82.0,22.0,76.0,76.0,33.0,22.0,76.0
24543,69.0,25.0,37.0,25.0,25.0,30.0,31.0,63.0,37.0,25.0,21.0,25.0,22.0,25.0,25.0,67.0
24544,74.0,25.0,35.0,25.0,25.0,25.0,31.0,74.0,24.0,25.0,21.0,25.0,25.0,25.0,25.0,74.0
24545,88.0,73.0,76.0,67.0,77.0,73.0,73.0,74.0,73.0,74.0,73.0,75.0,81.0,21.0,26.0,74.0
24546,74.0,29.0,67.0,35.0,68.0,59.0,68.0,60.0,70.0,57.0,70.0,60.0,44.0,71.0,71.0,70.0
